account_id,account_name,plan_tier,industry,country,seats,total_mrr,avg_mrr,risk_level,risk_score,churn_probability,priority_action,usage_events,total_errors,support_tickets,avg_satisfaction,escalations,sla_breaches,primary_action,secondary_action,offer,key_risk_factor,success_metric
A-81edc3,Company_236,BASIC,Cybersecurity,IN,5,17524,1460.33,LOW,1,9.1,MONITOR,74,41,3,4.0,0,3,Offer executive business review — highlight ROI and strategic roadmap alignment,Share success stories from similar companies in same industry,Free upgrade to PRO for 3 months to demonstrate advanced platform value,Moderate risk — monitor closely for any further decline in engagement,Customer renews subscription before end of current billing cycle
A-328bd0,Company_237,ENTERPRISE,HealthTech,AU,18,15979,1229.15,LOW,1,9.1,MONITOR,61,49,5,3.8,0,2,Offer executive business review — highlight ROI and strategic roadmap alignment,Schedule quarterly business review and present detailed ROI report,Custom SLA agreement + 10% discount on next annual renewal,Moderate risk — monitor closely for any further decline in engagement,Customer renews subscription before end of current billing cycle
A-6c093d,Company_12,BASIC,DevTools,US,7,16242,1353.5,LOW,1,9.1,MONITOR,64,30,3,4.33,1,2,Offer executive business review — highlight ROI and strategic roadmap alignment,Share success stories from similar companies in same industry,Free upgrade to PRO for 3 months to demonstrate advanced platform value,Moderate risk — monitor closely for any further decline in engagement,Customer renews subscription before end of current billing cycle
A-fd7ad3,Company_100,ENTERPRISE,Cybersecurity,US,1,3831,383.1,LOW,1,9.1,MONITOR,56,42,8,4.13,1,2,Send personalised check-in email with industry-specific product tips,Schedule quarterly business review and present detailed ROI report,1 month free extension + complimentary onboarding support session,Moderate risk — monitor closely for any further decline in engagement,Customer renews subscription before end of current billing cycle
A-526d93,Company_66,BASIC,HealthTech,FR,43,39201,4355.67,LOW,1,9.1,MONITOR,56,45,5,3.8,1,2,Offer executive business review — highlight ROI and strategic roadmap alignment,Share success stories from similar companies in same industry,Free upgrade to PRO for 3 months to demonstrate advanced platform value,Moderate risk — monitor closely for any further decline in engagement,Customer renews subscription before end of current billing cycle
A-c42f1f,Company_21,PRO,HealthTech,US,8,5175,646.88,LOW,1,9.1,MONITOR,35,20,9,4.0,1,2,Offer executive business review — highlight ROI and strategic roadmap alignment,Invite to power-user webinar and introduce premium feature training,15% loyalty discount on annual renewal if committed within 30 days,Excessive support load signals product is not meeting basic expectations,Customer renews subscription before end of current billing cycle
A-39b19f,Company_176,ENTERPRISE,FinTech,US,1,21237,1930.64,LOW,1,9.1,MONITOR,55,37,6,4.17,1,3,Offer executive business review — highlight ROI and strategic roadmap alignment,Schedule quarterly business review and present detailed ROI report,Custom SLA agreement + 10% discount on next annual renewal,Moderate risk — monitor closely for any further decline in engagement,Customer renews subscription before end of current billing cycle
A-7c6b6b,Company_223,BASIC,FinTech,US,6,4818,688.29,LOW,1,9.1,MONITOR,35,24,5,4.2,0,2,Send personalised check-in email with industry-specific product tips,Share success stories from similar companies in same industry,Free upgrade to PRO for 3 months to demonstrate advanced platform value,Moderate risk — monitor closely for any further decline in engagement,Customer renews subscription before end of current billing cycle
A-a7bd4b,Company_363,ENTERPRISE,Cybersecurity,US,5,6268,569.82,LOW,1,9.1,MONITOR,55,37,6,3.5,0,2,Offer executive business review — highlight ROI and strategic roadmap alignment,Schedule quarterly business review and present detailed ROI report,Custom SLA agreement + 10% discount on next annual renewal,Moderate risk — monitor closely for any further decline in engagement,Customer renews subscription before end of current billing cycle
A-1986ca,Company_197,PRO,HealthTech,IN,20,27661,3951.57,LOW,1,9.1,MONITOR,37,23,7,3.57,0,2,Offer executive business review — highlight ROI and strategic roadmap alignment,Invite to power-user webinar and introduce premium feature training,15% loyalty discount on annual renewal if committed within 30 days,Moderate risk — monitor closely for any further decline in engagement,Customer renews subscription before end of current billing cycle
A-1f7acb,Company_281,BASIC,FinTech,UK,64,46912,5864.0,LOW,1,9.1,MONITOR,53,47,7,4.29,0,3,Offer executive business review — highlight ROI and strategic roadmap alignment,Share success stories from similar companies in same industry,Free upgrade to PRO for 3 months to demonstrate advanced platform value,Moderate risk — monitor closely for any further decline in engagement,Customer renews subscription before end of current billing cycle
A-bc4d48,Company_343,PRO,EdTech,US,35,12390,1770.0,LOW,1,9.1,MONITOR,32,9,6,4.17,1,2,Offer executive business review — highlight ROI and strategic roadmap alignment,Invite to power-user webinar and introduce premium feature training,15% loyalty discount on annual renewal if committed within 30 days,Moderate risk — monitor closely for any further decline in engagement,Customer renews subscription before end of current billing cycle
A-65c341,Company_308,PRO,FinTech,US,11,30546,3818.25,LOW,1,9.1,MONITOR,38,18,5,4.0,0,2,Offer executive business review — highlight ROI and strategic roadmap alignment,Invite to power-user webinar and introduce premium feature training,15% loyalty discount on annual renewal if committed within 30 days,Moderate risk — monitor closely for any further decline in engagement,Customer renews subscription before end of current billing cycle
A-c9bb3e,Company_336,PRO,EdTech,US,5,15217,1521.7,LOW,1,9.1,MONITOR,46,20,7,4.14,1,2,Offer executive business review — highlight ROI and strategic roadmap alignment,Invite to power-user webinar and introduce premium feature training,15% loyalty discount on annual renewal if committed within 30 days,Moderate risk — monitor closely for any further decline in engagement,Customer renews subscription before end of current billing cycle
A-00bed1,Company_306,BASIC,Cybersecurity,US,28,33506,3350.6,LOW,1,9.1,MONITOR,51,27,4,4.0,0,2,Offer executive business review — highlight ROI and strategic roadmap alignment,Share success stories from similar companies in same industry,Free upgrade to PRO for 3 months to demonstrate advanced platform value,Moderate risk — monitor closely for any further decline in engagement,Customer renews subscription before end of current billing cycle
A-7e0a10,Company_64,ENTERPRISE,FinTech,US,46,41116,4111.6,LOW,1,9.1,MONITOR,50,35,5,4.0,0,2,Offer executive business review — highlight ROI and strategic roadmap alignment,Schedule quarterly business review and present detailed ROI report,Custom SLA agreement + 10% discount on next annual renewal,Moderate risk — monitor closely for any further decline in engagement,Customer renews subscription before end of current billing cycle
A-e5d6ab,Company_7,PRO,EdTech,US,3,13048,1304.8,LOW,1,9.1,MONITOR,41,23,3,4.0,0,2,Offer executive business review — highlight ROI and strategic roadmap alignment,Invite to power-user webinar and introduce premium feature training,15% loyalty discount on annual renewal if committed within 30 days,Moderate risk — monitor closely for any further decline in engagement,Customer renews subscription before end of current billing cycle
A-54ecc2,Company_289,ENTERPRISE,Cybersecurity,US,4,16168,1469.82,LOW,1,9.1,MONITOR,56,39,5,4.4,0,2,Offer executive business review — highlight ROI and strategic roadmap alignment,Schedule quarterly business review and present detailed ROI report,Custom SLA agreement + 10% discount on next annual renewal,Moderate risk — monitor closely for any further decline in engagement,Customer renews subscription before end of current billing cycle
A-20736a,Company_271,ENTERPRISE,EdTech,IN,50,40525,5789.29,LOW,1,9.1,MONITOR,42,22,4,3.75,0,2,Offer executive business review — highlight ROI and strategic roadmap alignment,Schedule quarterly business review and present detailed ROI report,Custom SLA agreement + 10% discount on next annual renewal,Moderate risk — monitor closely for any further decline in engagement,Customer renews subscription before end of current billing cycle
A-149a69,Company_302,BASIC,DevTools,US,34,8058,2686.0,LOW,1,9.1,MONITOR,18,9,8,4.13,0,2,Offer executive business review — highlight ROI and strategic roadmap alignment,Share success stories from similar companies in same industry,Free upgrade to PRO for 3 months to demonstrate advanced platform value,Moderate risk — monitor closely for any further decline in engagement,Customer renews subscription before end of current billing cycle
A-0651a4,Company_255,PRO,HealthTech,FR,16,44564,2970.93,LOW,1,9.1,MONITOR,69,37,4,4.0,0,2,Offer executive business review — highlight ROI and strategic roadmap alignment,Invite to power-user webinar and introduce premium feature training,15% loyalty discount on annual renewal if committed within 30 days,Moderate risk — monitor closely for any further decline in engagement,Customer renews subscription before end of current billing cycle
A-3d957b,Company_311,PRO,HealthTech,UK,14,11852,1975.33,LOW,1,9.1,MONITOR,15,13,3,3.67,0,2,Offer executive business review — highlight ROI and strategic roadmap alignment,Invite to power-user webinar and introduce premium feature training,15% loyalty discount on annual renewal if committed within 30 days,Moderate risk — monitor closely for any further decline in engagement,Customer renews subscription before end of current billing cycle
A-bb3bd4,Company_340,BASIC,HealthTech,US,23,7452,1064.57,LOW,1,9.1,MONITOR,30,11,11,4.09,0,2,Offer executive business review — highlight ROI and strategic roadmap alignment,Share success stories from similar companies in same industry,Free upgrade to PRO for 3 months to demonstrate advanced platform value,Excessive support load signals product is not meeting basic expectations,Customer renews subscription before end of current billing cycle
A-9077b0,Company_41,BASIC,HealthTech,US,2,3565,509.29,LOW,1,9.1,MONITOR,46,31,3,4.33,0,2,Send personalised check-in email with industry-specific product tips,Share success stories from similar companies in same industry,Free upgrade to PRO for 3 months to demonstrate advanced platform value,Moderate risk — monitor closely for any further decline in engagement,Customer renews subscription before end of current billing cycle
A-b3fe05,Company_238,PRO,Cybersecurity,CA,8,24494,2721.56,LOW,1,9.1,MONITOR,43,18,4,3.5,0,2,Offer executive business review — highlight ROI and strategic roadmap alignment,Invite to power-user webinar and introduce premium feature training,15% loyalty discount on annual renewal if committed within 30 days,Moderate risk — monitor closely for any further decline in engagement,Customer renews subscription before end of current billing cycle
A-22f2df,Company_106,BASIC,DevTools,US,3,7451,827.89,LOW,1,9.1,MONITOR,42,17,5,4.2,0,2,Offer executive business review — highlight ROI and strategic roadmap alignment,Share success stories from similar companies in same industry,Free upgrade to PRO for 3 months to demonstrate advanced platform value,Moderate risk — monitor closely for any further decline in engagement,Customer renews subscription before end of current billing cycle
